epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.0729166641831398,3.1754918098449707,NA,NA
1,0.11222222447395325,2.944046974182129,NA,NA
2,0.1976388841867447,2.5933704376220703,NA,NA
3,0.28125,2.3100509643554688,NA,NA
4,0.33791667222976685,2.0952696800231934,NA,NA
5,0.3931249976158142,1.9152358770370483,NA,NA
6,0.425902783870697,1.777866244316101,NA,NA
7,0.46368056535720825,1.6708109378814697,NA,NA
8,0.4972222149372101,1.5603512525558472,NA,NA
9,0.5195833444595337,1.4739481210708618,NA,NA
0,0.0815972238779068,3.0271995067596436,NA,NA
1,0.2395833283662796,2.5087454319000244,NA,NA
2,0.4322916567325592,1.993209958076477,NA,NA
3,0.5333333611488342,1.6313050985336304,NA,NA
4,0.6009722352027893,1.3923858404159546,NA,NA
5,0.6424999833106995,1.2263938188552856,NA,NA
6,0.6864583492279053,1.0776410102844238,NA,NA
7,0.7122222185134888,0.9848343729972839,NA,NA
8,0.7329166531562805,0.8940157294273376,NA,NA
9,0.7481944561004639,0.8275843858718872,NA,NA
0,0.07201389223337173,3.0465211868286133,NA,NA
1,0.1810416728258133,2.691225290298462,NA,NA
2,0.3038194477558136,2.3297359943389893,NA,NA
3,0.38854166865348816,2.066244125366211,NA,NA
4,0.44680556654930115,1.8657606840133667,NA,NA
5,0.49743056297302246,1.6970775127410889,NA,NA
6,0.5411111116409302,1.553053379058838,NA,NA
7,0.5639583468437195,1.4375030994415283,NA,NA
8,0.6018750071525574,1.3316314220428467,NA,NA
9,0.6231250166893005,1.241573452949524,NA,NA
0,0.08222222328186035,3.0464603900909424,NA,NA
1,0.15944445133209229,2.720566749572754,NA,NA
2,0.22861111164093018,2.4419586658477783,NA,NA
3,0.28881943225860596,2.223659038543701,NA,NA
4,0.34458333253860474,2.0483829975128174,NA,NA
5,0.3978472352027893,1.8855879306793213,NA,NA
6,0.44159722328186035,1.7428083419799805,NA,NA
7,0.48249998688697815,1.6163713932037354,NA,NA
8,0.5161805748939514,1.5025687217712402,NA,NA
9,0.5402777791023254,1.4140878915786743,NA,NA
0,0.08270833641290665,3.021613836288452,NA,NA
1,0.1445833295583725,2.745028257369995,NA,NA
2,0.25826388597488403,2.4293172359466553,NA,NA
3,0.3491666615009308,2.1487646102905273,NA,NA
4,0.4085416793823242,1.9230130910873413,NA,NA
5,0.45895832777023315,1.734122395515442,NA,NA
6,0.49298611283302307,1.5973321199417114,NA,NA
7,0.5290277600288391,1.4712880849838257,NA,NA
8,0.5600000023841858,1.3712563514709473,NA,NA
9,0.5822916626930237,1.2853293418884277,NA,NA
0,0.06451389193534851,3.1123850345611572,NA,NA
1,0.08986110985279083,2.9140071868896484,NA,NA
2,0.15937499701976776,2.714331865310669,NA,NA
3,0.23180556297302246,2.513518810272217,NA,NA
4,0.28986111283302307,2.3245348930358887,NA,NA
5,0.3408333361148834,2.145113706588745,NA,NA
6,0.3799999952316284,1.9948978424072266,NA,NA
7,0.41624999046325684,1.8611772060394287,NA,NA
8,0.4543055593967438,1.7515796422958374,NA,NA
9,0.4781944453716278,1.655990481376648,NA,NA
0,0.045277778059244156,3.2821414470672607,NA,NA
1,0.055694445967674255,3.2472262382507324,NA,NA
2,0.060555554926395416,3.2268624305725098,NA,NA
3,0.0590277761220932,3.2162513732910156,NA,NA
4,0.06361111253499985,3.207622528076172,NA,NA
5,0.05874999985098839,3.2004411220550537,NA,NA
6,0.05979166552424431,3.1922099590301514,NA,NA
7,0.06006944552063942,3.185499668121338,NA,NA
8,0.06020833179354668,3.180864095687866,NA,NA
9,0.061250001192092896,3.17233943939209,NA,NA
0,0.050138890743255615,3.2758452892303467,NA,NA
1,0.055763889104127884,3.2537150382995605,NA,NA
2,0.056805554777383804,3.2396774291992188,NA,NA
3,0.060277778655290604,3.225961208343506,NA,NA
4,0.06152777746319771,3.2141518592834473,NA,NA
5,0.06111111119389534,3.205700635910034,NA,NA
6,0.06451389193534851,3.1987106800079346,NA,NA
7,0.06312499940395355,3.19155216217041,NA,NA
8,0.06152777746319771,3.1860554218292236,NA,NA
9,0.06604166328907013,3.17740797996521,NA,NA
0,0.05027777701616287,3.287526845932007,NA,NA
1,0.05624999850988388,3.2286596298217773,NA,NA
2,0.05826389044523239,3.20330548286438,NA,NA
3,0.06187500059604645,3.184577703475952,NA,NA
4,0.06465277820825577,3.1762709617614746,NA,NA
5,0.06333333253860474,3.16874623298645,NA,NA
6,0.06888888776302338,3.1605496406555176,NA,NA
7,0.06875000149011612,3.1513710021972656,NA,NA
8,0.06680555641651154,3.149493932723999,NA,NA
9,0.06763888895511627,3.139740467071533,NA,NA
0,0.11444444209337234,2.906954765319824,NA,NA
1,0.2970833480358124,2.4003942012786865,NA,NA
2,0.49076390266418457,1.8512789011001587,NA,NA
3,0.5888888835906982,1.4765771627426147,NA,NA
4,0.6550694704055786,1.221562385559082,NA,NA
5,0.7007638812065125,1.042206883430481,NA,NA
6,0.7340278029441833,0.9240661859512329,NA,NA
7,0.7630555629730225,0.8174693584442139,NA,NA
8,0.7864583134651184,0.7383448481559753,NA,NA
9,0.8079861402511597,0.6620765924453735,NA,NA
0,0.08652777969837189,2.9793295860290527,NA,NA
1,0.28437501192092896,2.416813373565674,NA,NA
2,0.4556249976158142,1.8635109663009644,NA,NA
3,0.5516666769981384,1.5074928998947144,NA,NA
4,0.6204166412353516,1.277544617652893,NA,NA
5,0.6615277528762817,1.1052087545394897,NA,NA
6,0.7039583325386047,0.9742999076843262,NA,NA
7,0.738402783870697,0.8763967752456665,NA,NA
8,0.7702083587646484,0.7811056971549988,NA,NA
9,0.7929860949516296,0.7085934281349182,NA,NA
0,0.10631944239139557,2.9096014499664307,NA,NA
1,0.28909721970558167,2.4016215801239014,NA,NA
2,0.45375001430511475,1.9634382724761963,NA,NA
3,0.5411111116409302,1.6473067998886108,NA,NA
4,0.6115972399711609,1.39498770236969,NA,NA
5,0.6573610901832581,1.2182974815368652,NA,NA
6,0.6963194608688354,1.072344183921814,NA,NA
7,0.7292361259460449,0.958406388759613,NA,NA
8,0.7539583444595337,0.8598357439041138,NA,NA
9,0.7759722471237183,0.7838256359100342,NA,NA
0,0.0972222238779068,2.955094575881958,NA,NA
1,0.20868055522441864,2.589634418487549,NA,NA
2,0.34513887763023376,2.2223691940307617,NA,NA
3,0.4368055462837219,1.9043464660644531,NA,NA
4,0.5046527981758118,1.6717113256454468,NA,NA
5,0.5570833086967468,1.4803730249404907,NA,NA
6,0.5979166626930237,1.3296254873275757,NA,NA
7,0.6365277767181396,1.2103744745254517,NA,NA
8,0.6699305772781372,1.1024233102798462,NA,NA
9,0.691527783870697,1.011933445930481,NA,NA
0,0.10097222030162811,2.9043684005737305,NA,NA
1,0.24097222089767456,2.4967355728149414,NA,NA
2,0.38506942987442017,2.068622589111328,NA,NA
3,0.48395833373069763,1.742694616317749,NA,NA
4,0.558680534362793,1.4844950437545776,NA,NA
5,0.6054860949516296,1.2948631048202515,NA,NA
6,0.6395139098167419,1.1580489873886108,NA,NA
7,0.6797916889190674,1.047661304473877,NA,NA
8,0.7038194537162781,0.9559664130210876,NA,NA
9,0.7340972423553467,0.8695821762084961,NA,NA
0,0.077152781188488,2.9223620891571045,NA,NA
1,0.18284721672534943,2.6403374671936035,NA,NA
2,0.33125001192092896,2.332876443862915,NA,NA
3,0.4329861104488373,2.02561092376709,NA,NA
4,0.49444442987442017,1.7722851037979126,NA,NA
5,0.551319420337677,1.5581941604614258,NA,NA
6,0.5941666960716248,1.4034391641616821,NA,NA
